id,gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,match
2500,female,24,24,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,8.0,8.0,8.0,7.0,6.0,5.0,19.44,19.44,22.22,16.67,11.11,11.11,7.0,7.0,6.0,6.0,5.0,3.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.4,5,,5.0,8.0,5.0,0,0
2501,female,24,26,European/Caucasian-American,European/Caucasian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,6.0,6.0,6.0,6.0,6.0,6.0,16.98,16.98,18.87,16.98,13.21,16.98,4.0,,,1.0,,1.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,-0.13,5,,5.0,6.0,5.0,0,0
2502,female,24,21,European/Caucasian-American,European/Caucasian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,6.0,7.0,7.0,7.0,7.0,6.0,15.56,11.11,22.22,15.56,20.0,15.56,4.0,5.0,5.0,5.0,5.0,5.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.31,5,,5.0,5.0,5.0,0,0
2503,female,24,27,European/Caucasian-American,Other,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,6.0,8.0,8.0,7.0,6.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09,6.0,8.0,7.0,7.0,7.0,6.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.05,5,,5.0,5.0,6.0,0,0
2504,female,24,25,European/Caucasian-American,European/Caucasian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,7.0,7.0,7.0,9.0,9.0,9.0,15.56,20.0,20.0,20.0,13.33,11.11,8.0,3.0,8.0,8.0,4.0,1.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.24,5,,5.0,9.0,5.0,1,0
2505,female,24,28,European/Caucasian-American,European/Caucasian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,7.0,7.0,7.0,7.0,7.0,7.0,20.45,20.45,20.45,18.18,18.18,2.27,5.0,7.0,7.0,6.0,6.0,6.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.43,5,,5.0,7.0,6.0,0,0
2506,female,24,24,European/Caucasian-American,European/Caucasian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,8.0,8.0,8.0,8.0,8.0,8.0,19.57,19.57,15.22,17.39,15.22,13.04,5.0,7.0,6.0,5.0,5.0,6.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.32,5,,5.0,8.0,6.0,0,0
2507,female,24,25,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,Social work,20.0,22.5,17.5,22.5,10.0,7.5,9,7,9,9,7,7.0,8.0,7.0,6.0,6.0,6.0,20.93,16.28,23.26,16.28,11.63,11.63,6.0,8.0,7.0,7.0,6.0,6.0,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,-0.38,5,,5.0,8.0,5.0,0,0
2508,male,34,29,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8.0,10.0,10.0,8.0,6.0,7.0,9.52,23.81,16.67,16.67,16.67,16.67,5.0,6.0,6.0,6.0,6.0,6.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.34,9,,2.0,7.0,7.0,0,1
251,female,27,24,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,7.0,8.0,8.0,8.0,,,25.0,35.0,30.0,10.0,0.0,0.0,5.0,5.0,6.0,4.0,7.0,2.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,-0.32,5,3,1.0,7.0,5.0,0,0
2510,male,34,28,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10.0,10.0,10.0,7.0,10.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,7.0,7.0,8.0,6.0,7.0,5.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.48,9,,2.0,9.0,7.0,0,1
2511,male,34,22,European/Caucasian-American,European/Caucasian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8.0,10.0,10.0,10.0,10.0,10.0,15.09,16.98,16.98,16.98,18.87,15.09,5.0,7.0,7.0,5.0,6.0,5.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.07,9,,2.0,9.0,8.0,0,0
2512,male,34,35,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8.0,10.0,10.0,8.0,9.0,7.0,15.22,17.39,17.39,17.39,15.22,17.39,5.0,7.0,7.0,5.0,,4.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.64,9,,2.0,8.0,6.0,0,0
2513,male,34,30,European/Caucasian-American,Latino/Hispanic American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10.0,10.0,10.0,10.0,10.0,5.0,19.15,21.28,17.02,17.02,12.77,12.77,3.0,7.0,6.0,4.0,6.0,7.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.38,9,,2.0,8.0,5.0,0,0
2514,male,34,24,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10.0,9.0,8.0,8.0,9.0,9.0,15.38,17.31,17.31,19.23,13.46,17.31,7.0,8.0,7.0,8.0,7.0,6.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.24,9,,2.0,6.0,6.0,0,1
2515,male,34,22,European/Caucasian-American,Black/African American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10.0,10.0,10.0,8.0,10.0,9.0,15.38,19.23,19.23,17.31,17.31,11.54,8.0,9.0,8.0,9.0,10.0,7.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.43,9,,2.0,9.0,6.0,0,0
2516,male,34,22,European/Caucasian-American,Black/African American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8.0,10.0,10.0,8.0,9.0,6.0,16.07,17.86,17.86,17.86,17.86,12.5,7.0,8.0,8.0,8.0,9.0,8.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,-0.34,9,,2.0,7.0,5.0,0,0
2517,male,34,24,European/Caucasian-American,European/Caucasian-American,1,1,International Business,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10.0,10.0,10.0,10.0,10.0,10.0,20.0,22.5,17.5,22.5,10.0,7.5,8.0,9.0,9.0,7.0,6.0,9.0,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.28,9,,2.0,10.0,7.0,0,1
2518,male,25,29,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6.0,6.0,7.0,6.0,5.0,8.0,9.52,23.81,16.67,16.67,16.67,16.67,5.0,5.0,5.0,5.0,5.0,,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.48,6,,8.0,7.0,9.0,0,0
2519,male,25,23,Asian/Pacific Islander/Asian-American,Other,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3.0,8.0,8.0,4.0,7.0,6.0,12.24,20.41,16.33,14.29,20.41,16.33,2.0,7.0,7.0,5.0,7.0,2.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.56,6,,8.0,2.0,6.0,1,0
252,female,27,24,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,5.0,8.0,8.0,,8.0,6.0,25.0,15.0,25.0,25.0,15.0,15.0,5.0,7.0,8.0,7.0,8.0,8.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,0.54,5,3,1.0,7.0,7.0,0,0
2520,male,25,28,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3.0,8.0,8.0,4.0,7.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,6.0,5.0,6.0,6.0,7.0,4.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.16,6,,8.0,2.0,8.0,0,0
2521,male,25,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,2.0,9.0,9.0,8.0,9.0,5.0,15.09,16.98,16.98,16.98,18.87,15.09,2.0,3.0,3.0,3.0,5.0,2.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.31,6,,8.0,6.0,10.0,0,0
2522,male,25,35,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3.0,7.0,7.0,6.0,8.0,9.0,15.22,17.39,17.39,17.39,15.22,17.39,7.0,7.0,7.0,6.0,,,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.4,6,,8.0,7.0,9.0,0,0
2523,male,25,30,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,8.0,8.0,9.0,9.0,9.0,10.0,19.15,21.28,17.02,17.02,12.77,12.77,4.0,6.0,6.0,5.0,6.0,6.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.41,6,,8.0,10.0,10.0,0,0
2524,male,25,24,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,9.0,10.0,8.0,8.0,8.0,5.0,15.38,17.31,17.31,19.23,13.46,17.31,4.0,4.0,4.0,3.0,3.0,3.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.16,6,,8.0,9.0,10.0,0,0
2526,male,25,22,Asian/Pacific Islander/Asian-American,Black/African American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6.0,8.0,9.0,9.0,9.0,5.0,16.07,17.86,17.86,17.86,17.86,12.5,7.0,7.0,8.0,9.0,8.0,8.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.42,6,,8.0,9.0,9.0,1,0
2527,male,25,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,3,4,Statistics,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6.0,6.0,6.0,7.0,6.0,10.0,20.0,22.5,17.5,22.5,10.0,7.5,7.0,6.0,7.0,6.0,6.0,7.0,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,-0.01,6,,8.0,6.0,10.0,0,0
2528,male,24,29,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,4.0,6.0,6.0,,5.0,,9.52,23.81,16.67,16.67,16.67,16.67,5.0,5.0,6.0,6.0,6.0,6.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.35,7,,2.0,5.0,3.0,0,0
2529,male,24,23,Asian/Pacific Islander/Asian-American,Other,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7.0,6.0,6.0,6.0,5.0,7.0,12.24,20.41,16.33,14.29,20.41,16.33,2.0,8.0,8.0,7.0,8.0,6.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.48,7,,2.0,6.0,5.0,0,0
253,female,27,28,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,7.0,7.0,8.0,,8.0,,25.0,15.0,25.0,15.0,0.0,20.0,6.0,6.0,6.0,6.0,5.0,5.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,-0.19,5,3,1.0,8.0,6.0,0,0
2531,male,24,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5.0,5.0,7.0,8.0,5.0,2.0,15.09,16.98,16.98,16.98,18.87,15.09,2.0,6.0,7.0,2.0,4.0,2.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,-0.06,7,,2.0,4.0,2.0,0,0
2532,male,24,35,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5.0,6.0,6.0,2.0,,5.0,15.22,17.39,17.39,17.39,15.22,17.39,5.0,7.0,7.0,5.0,,,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.51,7,,2.0,3.0,3.0,0,1
2533,male,24,30,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7.0,7.0,7.0,8.0,7.0,6.0,19.15,21.28,17.02,17.02,12.77,12.77,4.0,8.0,7.0,6.0,6.0,7.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.36,7,,2.0,6.0,6.0,0,0
2534,male,24,24,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7.0,7.0,,,,,15.38,17.31,17.31,19.23,13.46,17.31,6.0,7.0,7.0,5.0,5.0,6.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.34,7,,2.0,6.0,6.0,0,0
2536,male,24,22,Asian/Pacific Islander/Asian-American,Black/African American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5.0,7.0,6.0,5.0,5.0,,16.07,17.86,17.86,17.86,17.86,12.5,6.0,8.0,10.0,9.0,10.0,8.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.56,7,,2.0,4.0,3.0,0,0
2537,male,24,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,4,3,Medical Informatics,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7.0,7.0,6.0,6.0,5.0,3.0,20.0,22.5,17.5,22.5,10.0,7.5,8.0,8.0,8.0,7.0,6.0,5.0,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.4,7,,2.0,4.0,3.0,0,0
2538,male,26,29,European/Caucasian-American,Asian/Pacific Islander/Asian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,6.0,8.0,,,,10.0,9.52,23.81,16.67,16.67,16.67,16.67,5.0,5.0,5.0,5.0,5.0,7.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.71,6,,,5.0,9.0,0,1
2539,male,26,23,European/Caucasian-American,Other,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,6.0,,10.0,5.0,,,12.24,20.41,16.33,14.29,20.41,16.33,4.0,6.0,7.0,7.0,6.0,7.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.45,6,,,3.0,2.0,0,0
254,female,27,26,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,9.0,8.0,7.0,8.0,,8.0,20.0,35.0,20.0,10.0,10.0,5.0,7.0,8.0,8.0,8.0,7.0,9.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,0.24,5,3,1.0,8.0,7.0,0,0
2540,male,26,28,European/Caucasian-American,Asian/Pacific Islander/Asian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,,,,,,,13.04,21.74,19.57,17.39,15.22,13.04,5.0,5.0,5.0,5.0,5.0,5.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.44,6,,,,,,0
2541,male,26,22,European/Caucasian-American,European/Caucasian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,4.0,,,,,,15.09,16.98,16.98,16.98,18.87,15.09,4.0,6.0,7.0,5.0,,4.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.14,6,,,5.0,9.0,0,0
2542,male,26,35,European/Caucasian-American,Asian/Pacific Islander/Asian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,4.0,7.0,7.0,5.0,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.41,6,,,,,,0
2543,male,26,30,European/Caucasian-American,Latino/Hispanic American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,7.0,7.0,7.0,8.0,,,19.15,21.28,17.02,17.02,12.77,12.77,4.0,8.0,7.0,6.0,6.0,7.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.41,6,,,7.0,9.0,0,0
2544,male,26,24,European/Caucasian-American,Asian/Pacific Islander/Asian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,,,7.0,7.0,,,15.38,17.31,17.31,19.23,13.46,17.31,5.0,5.0,5.0,5.0,5.0,4.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,-0.4,6,,,7.0,9.0,0,0
2545,male,26,22,European/Caucasian-American,Black/African American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,,,,,,,15.38,19.23,19.23,17.31,17.31,11.54,4.0,4.0,4.0,4.0,4.0,4.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.38,6,,,,,,0
2546,male,26,22,European/Caucasian-American,Black/African American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,,,,,,,16.07,17.86,17.86,17.86,17.86,12.5,6.0,8.0,9.0,8.0,9.0,9.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,0.07,6,,,5.0,6.0,0,0
2547,male,26,24,European/Caucasian-American,European/Caucasian-American,10,5,International Finance; Economic Policy,16.98,16.98,18.87,16.98,13.21,16.98,8,9,7,10,7,4.0,,,1.0,,1.0,20.0,22.5,17.5,22.5,10.0,7.5,6.0,6.0,6.0,6.0,6.0,6.0,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,-0.13,6,,,1.0,2.0,0,0
2548,male,21,29,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,4.0,5.0,5.0,5.0,5.0,5.0,9.52,23.81,16.67,16.67,16.67,16.67,5.0,5.0,5.0,5.0,5.0,5.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.51,6,,0.0,2.0,1.0,0,0
2549,male,21,23,European/Caucasian-American,Other,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,6.0,5.0,6.0,5.0,5.0,5.0,12.24,20.41,16.33,14.29,20.41,16.33,4.0,7.0,7.0,7.0,7.0,7.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.43,6,,0.0,4.0,2.0,0,1
255,female,27,30,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,5.0,7.0,7.0,7.0,7.0,7.0,20.0,20.0,25.0,25.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,0.04,5,3,1.0,7.0,7.0,0,0
2550,male,21,28,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,6.0,5.0,7.0,5.0,5.0,7.0,13.04,21.74,19.57,17.39,15.22,13.04,7.0,5.0,6.0,8.0,6.0,4.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.43,6,,0.0,4.0,2.0,0,0
2551,male,21,22,European/Caucasian-American,European/Caucasian-American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,3.0,4.0,5.0,5.0,5.0,5.0,15.09,16.98,16.98,16.98,18.87,15.09,1.0,6.0,6.0,3.0,4.0,2.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,-0.13,6,,0.0,2.0,1.0,0,0
2552,male,21,35,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,5.0,5.0,6.0,5.0,5.0,5.0,15.22,17.39,17.39,17.39,15.22,17.39,5.0,6.0,7.0,5.0,,,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.41,6,,0.0,3.0,1.0,0,0
2553,male,21,30,European/Caucasian-American,Latino/Hispanic American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,7.0,6.0,6.0,6.0,5.0,6.0,19.15,21.28,17.02,17.02,12.77,12.77,4.0,8.0,7.0,6.0,7.0,6.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.46,6,,0.0,3.0,1.0,0,0
2554,male,21,24,European/Caucasian-American,Asian/Pacific Islander/Asian-American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,8.0,8.0,5.0,8.0,5.0,8.0,15.38,17.31,17.31,19.23,13.46,17.31,7.0,8.0,8.0,7.0,8.0,5.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,-0.07,6,,0.0,6.0,2.0,0,0
2555,male,21,22,European/Caucasian-American,Black/African American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,6.0,7.0,5.0,6.0,2.0,5.0,15.38,19.23,19.23,17.31,17.31,11.54,4.0,4.0,4.0,4.0,4.0,4.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.4,6,,0.0,3.0,2.0,0,0
2556,male,21,22,European/Caucasian-American,Black/African American,1,1,electrical engineering,15.56,11.11,22.22,15.56,20.0,15.56,7,5,7,10,10,5.0,7.0,7.0,6.0,7.0,5.0,16.07,17.86,17.86,17.86,17.86,12.5,1.0,7.0,8.0,9.0,10.0,9.0,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.1,6,,0.0,2.0,1.0,0,0
2558,male,27,29,Other,Asian/Pacific Islander/Asian-American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5.0,8.0,7.0,5.0,5.0,4.0,9.52,23.81,16.67,16.67,16.67,16.67,5.0,5.0,5.0,5.0,5.0,5.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.22,5,,0.0,5.0,7.0,0,0
2559,male,27,23,Other,Other,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6.0,6.0,5.0,5.0,4.0,5.0,12.24,20.41,16.33,14.29,20.41,16.33,4.0,7.0,7.0,6.0,6.0,7.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.1,5,,0.0,6.0,2.0,0,0
256,female,27,22,European/Caucasian-American,European/Caucasian-American,2,3,social work,10.0,20.0,20.0,15.0,20.0,15.0,7,9,9,8,8,7.0,7.0,7.0,8.0,7.0,,30.0,15.0,25.0,25.0,5.0,0.0,6.0,8.0,8.0,5.0,,3.0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,0.05,5,3,1.0,7.0,6.0,0,0
2560,male,27,28,Other,Asian/Pacific Islander/Asian-American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,8.0,8.0,5.0,6.0,4.0,5.0,13.04,21.74,19.57,17.39,15.22,13.04,6.0,7.0,7.0,5.0,5.0,3.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.05,5,,0.0,7.0,2.0,0,0
2561,male,27,22,Other,European/Caucasian-American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5.0,6.0,6.0,5.0,9.0,5.0,15.09,16.98,16.98,16.98,18.87,15.09,4.0,6.0,6.0,3.0,5.0,4.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.05,5,,0.0,5.0,7.0,0,0
2562,male,27,35,Other,Asian/Pacific Islander/Asian-American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5.0,8.0,8.0,5.0,5.0,6.0,15.22,17.39,17.39,17.39,15.22,17.39,7.0,7.0,7.0,5.0,,,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.02,5,,0.0,6.0,5.0,0,0
2563,male,27,30,Other,Latino/Hispanic American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,7.0,8.0,8.0,8.0,8.0,7.0,19.15,21.28,17.02,17.02,12.77,12.77,4.0,8.0,7.0,5.0,7.0,7.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.13,5,,0.0,8.0,7.0,0,0
2564,male,27,24,Other,Asian/Pacific Islander/Asian-American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6.0,8.0,8.0,6.0,6.0,5.0,15.38,17.31,17.31,19.23,13.46,17.31,7.0,6.0,7.0,6.0,6.0,5.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.27,5,,0.0,6.0,7.0,0,0
2565,male,27,22,Other,Black/African American,6,1,Law and Social Work,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6.0,7.0,7.0,6.0,7.0,6.0,15.38,19.23,19.23,17.31,17.31,11.54,5.0,10.0,8.0,8.0,9.0,4.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.22,5,,0.0,6.0,7.0,0,0
